Title,Company,Skills and Experience
Middle/ Senior Backend Engineer (Golang),Vulcan Labs,"Your skills and experience 
 JOB REQUIREMENTS 
 3+ years of professional experience in backend engineering 
 Fluent in Golang and Python programming skill 
 Fundamental knowledge of DevOps, CI/CD and deployment process 
 Fluent in database designing and optimization, including SQL and noSQL database 
 Fundamental knowledge of security is a plus 
 Good understanding of system design/system architect 
 Have the ability of problem-solving & high definition of done 
 Write testable and clean code 
 Great logical, critical thinking and data-driven mindset 
 Have experiences with Docker, k8s is a Plus 
 Have experiences with MLOps is a Big Plus"
Senior Backend Engineer (Python Prefer/Java/PHP/Golang),LARION,"Your skills and experience 
 Must-have Skills: 
 5+ years of professional software development experience, with a strong focus on backend engineering 
 Strong expertise in at least one programming language (Python, Java, Go, PHP, Ruby, etc.) 
 Willingness and ability to work with Python in production environments 
 Solid foundation in data structures, algorithms, system design, and software architecture 
 Proven experience building scalable, production-grade systems 
 Strong experience with databases (SQL/NoSQL, query optimization, data modeling) 
 Good understanding of API design and networking fundamentals 
 Familiarity with modern web architecture 
 Comfortable working in Unix/Linux environments 
 Strong debugging, analytical thinking, and problem-solving skills 
 Good English communication skills 
 Nice-to-have Skills: 
 Experience with Python (Flask, FastAPI, Django) 
 Experience with asynchronous processing (Celery, RabbitMQ) 
 Experience with Elasticsearch 
 Familiarity with monitoring tools (Prometheus) 
 Experience with Docker, Kubernetes 
 Experience with distributed systems or large-scale architectures 
 Experience in performance tuning and scalability optimization"
"[Middle, Senior] BackEnd Engineer (Java, Go)",MB Bank,"Your skills and experience 
 - Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin và liên quan 
 - Có kinh nghiệm làm việc thực tế tại các công ty hoặc dự án về lập trình Backend 
 - Thành thạo 1 trong các ngôn ngữ BackEnd, ưu tiên Java hoặc Go 
 - Thành thạo một trong trong các loại database: Oracle, Sqlserver, PostgreSQL, Mongodb. 
 - Có kinh nghiệm trong domain tài chính, ngân hàng, chứng khoán hoặc các hệ thống có số lượng người dùng lớn là lợi thế 
 - Với ứng viên Junior, Fresher: Ưu tiên các bạn xếp loại học tập loại Giỏi, Xuất sắc; GPA cao; đạt giải thưởng trong các cuộc thi chuyên môn, học sinh giỏi tỉnh, thành phố trở lên; có nghiên cứu khoa học được công bố tại các hội thảo, tạp chí quốc tế (ứng viên cần thể hiện nội dung về GPA, giải thưởng trong CV) 
 MB Bank yêu cầu ứng viên ứng tuyển cần cung cấp chi tiết các thông tin sau: 
 - Thông tin cá nhân: Họ và tên, Ngày tháng năm sinh, Giới tính 
 - Số điện thoại và Email liên hệ 
 - Trình độ học vấn, Trường đã tốt nghiệp 
 - Kinh nghiệm làm việc 
 - Từ 3 - 5 kỹ năng nổi bật 
 - Nguồn Tuyển dụng 
 Vì sao Bạn nên đảm bảo đầy đủ thông tin khi ứng tuyển? 
 - Hồ sơ của Bạn sẽ được đánh giá nhanh chóng. 
 - Đối với các hồ sơ đáp ứng đầy đủ thông tin và tiêu chí tuyển dụng phù hợp, MB Bank sẽ chủ động liên hệ phỏng vấn trong thời gian sớm nhất. 
 - Ứng viên vui lòng kiểm tra email và điện thoại thường xuyên để không bỏ lỡ lịch hẹn phỏng vấn. 
 Cập nhật ngay thông tin mới nhất về các Chương trình do MB tổ chức tại FanPage: 
 - Ai yêu Miền Bắc hơn MBers 
 - Ai yêu Miền Trung hơn MBers 
 - Ai yêu Miền Nam hơn MBers"
"BackEnd Engineer (Fresher, UV chuẩn bị tốt nghiệp)",MB Bank,"Your skills and experience 
 - Ứng viên năm 3 trở lên hoặc đã tốt nghiệp dưới 1 năm tại các trường Đại học. 
 - Chuyên ngành tốt nghiệp: Công nghệ thông tin và liên quan 
 - Có kiến thức, hiểu biết về 1 trong các ngôn ngữ lập trình BackEnd, ưu tiên Java, Go 
 - Hiểu biết về 1 trong các loại database: Oracle, Sqlserver, PostgreSQL, Mongodb. 
 - Ưu tiên các bạn xếp loại học tập loại Giỏi, Xuất sắc; GPA cao; đạt giải thưởng trong các cuộc thi chuyên môn, học sinh giỏi tỉnh thành phố trở lên; có nghiên cứu khoa học trong quá trình học - - Phổ thông, Đại học (ứng viên cần thể hiện nội dung về GPA, giải thưởng trong CV) 
 - Ứng viên có thể làm việc fulltime là một lợi thế. Yêu cầu onsite tối thiểu 7/10 buổi làm việc trong tuần (từ thứ 2 - thứ 6). 
 QUYỀN LỢI: 
 - Bảo hiểm sức khỏe cá nhân và người thân 
 - Du lịch 
 - Fitness Center (Yoga, GYM,...) 
 - Hỗ trợ kinh phí tập luyện thể thao, đi lại, kinh phí trông trẻ/mẫu giáo, điện thoại 
 - Khám sức khỏe định kỳ 
 - Lương tháng thứ 13 
 - Ngảy nghỉ sinh nhật 
 - Thưởng các dịp lễ (Tết, Quốc Khánh, 30/4 - 1/5, Sinh nhật Ngân hàng,...) 
 - Thưởng thành tích, Thưởng hiệu suất 
 - Vay ưu đãi 
 MB Bank yêu cầu ứng viên ứng tuyển cần cung cấp chi tiết các thông tin sau: 
 - Thông tin cá nhân: Họ và tên, Ngày tháng năm sinh, Giới tính 
 - Số điện thoại và Email liên hệ 
 - Trình độ học vấn, Trường đã tốt nghiệp 
 - Kinh nghiệm làm việc 
 - Từ 3 - 5 kỹ năng nổi bật 
 - Nguồn Tuyển dụng 
 Vì sao Bạn nên đảm bảo đầy đủ thông tin khi ứng tuyển? 
 - Hồ sơ của Bạn sẽ được đánh giá nhanh chóng. 
 - Đối với các hồ sơ đáp ứng đầy đủ thông tin và tiêu chí tuyển dụng phù hợp, MB Bank sẽ chủ động liên hệ phỏng vấn trong thời gian sớm nhất. 
 - Ứng viên vui lòng kiểm tra email và điện thoại thường xuyên để không bỏ lỡ lịch hẹn phỏng vấn. 
 Cập nhật ngay thông tin mới nhất về các Chương trình do MB tổ chức tại FanPage: 
 - Ai yêu Miền Bắc hơn MBers 
 - Ai yêu Miền Trung hơn MBers 
 - Ai yêu Miền Nam hơn MBers"
"[Junior, Senior] BackEnd Engineer (Java, Go)- Khối CNTT",MB Bank,"Your skills and experience 
 - Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin và liên quan 
 - Có kinh nghiệm làm việc thực tế tại các công ty hoặc dự án về lập trình Backend 
 - Thành thạo 1 trong các ngôn ngữ BackEnd, ưu tiên Java hoặc Go 
 - Thành thạo một trong trong các loại database: Oracle, Sqlserver, PostgreSQL, Mongodb. 
 - Có kinh nghiệm trong domain tài chính, ngân hàng, chứng khoán hoặc các hệ thống có số lượng người dùng lớn là lợi thế 
 - Với ứng viên Junior, Fresher: Ưu tiên các bạn xếp loại học tập loại Giỏi, Xuất sắc; GPA cao; đạt giải thưởng trong các cuộc thi chuyên môn, học sinh giỏi tỉnh, thành phố trở lên; có nghiên cứu khoa học được công bố tại các hội thảo, tạp chí quốc tế (ứng viên cần thể hiện nội dung về GPA, giải thưởng trong CV) 
 MB Bank yêu cầu ứng viên ứng tuyển cần cung cấp chi tiết các thông tin sau: 
 - Thông tin cá nhân: Họ và tên, Ngày tháng năm sinh, Giới tính 
 - Số điện thoại và Email liên hệ 
 - Trình độ học vấn, Trường đã tốt nghiệp 
 - Kinh nghiệm làm việc 
 - Từ 3 - 5 kỹ năng nổi bật 
 - Nguồn Tuyển dụng 
 Vì sao Bạn nên đảm bảo đầy đủ thông tin khi ứng tuyển? 
 - Hồ sơ của Bạn sẽ được đánh giá nhanh chóng. 
 - Đối với các hồ sơ đáp ứng đầy đủ thông tin và tiêu chí tuyển dụng phù hợp, MB Bank sẽ chủ động liên hệ phỏng vấn trong thời gian sớm nhất. 
 - Ứng viên vui lòng kiểm tra email và điện thoại thường xuyên để không bỏ lỡ lịch hẹn phỏng vấn. 
 Cập nhật ngay thông tin mới nhất về các Chương trình do MB tổ chức tại FanPage: 
 - Ai yêu Miền Bắc hơn MBers 
 - Ai yêu Miền Trung hơn MBers 
 - Ai yêu Miền Nam hơn MBers"
"Mid-Senior Java Backend Developer (Spring, English)",LOGICENTRA,"Your skills and experience 
 Required Skills & Experience 
 Experience: 
 A minimum of 
 3 years 
 of professional experience in software development. 
 Proficiency: 
 Deep expertise in 
 Java 
 , including the 
 Spring Framework 
 , and proficiency in 
 Shell scripting 
 . 
 System Design: 
 Proven experience in designing and implementing 
 distributed services 
 and applying 
 design patterns 
 . 
 Database Skills: 
 Strong command of 
 SQL syntax 
 and an understanding of database normalization. 
 Tools & Technologies: 
 Hands-on experience with 
 Redis 
 and familiarity with the 
 ELK stack 
 (Elasticsearch, Logstash, Kibana). 
 Testing: 
 Experience in writing effective 
 unit tests 
 is essential. 
 Soft Skills: 
 You should be a proactive problem-solver with a tenacious attitude, excellent communication skills ( 
 English or Chinese 
 ) for both written and speaking, and the ability to articulate technical decisions clearly. Willingness to engage in pair programming is also required. 
 What We Offer 
 This role offers a clear path for growth and increasing impact within our team. 
 First 3-6 Months: 
 You will onboard, get familiar with our tech stack and workflows, and begin taking responsibility for product optimization and routine maintenance. You'll start tackling more complex technical requirements. 
 Beyond 6 Months: 
 You'll transition into leading core development tasks, contributing significantly to system architecture, and mentoring newer team members. You'll have the opportunity to influence engineering best practices and play a key role in technical decision-making. 
 The Details 
 Work Type 
 : On-Site 
 Work Hours 
 : Day shift, 09:00–18:00, Monday to Friday. 
 Management 
 : This is an individual contributor role with no direct management responsibilities. 
 Leave 
 : Two days off per week (Saturday and Sunday). 
 Education 
 : Bachelor’s degree or above (no specific major required)."
"Remote - Backend Engineer (NodeJS, ExpressJS, Postgres)",OrgScale Recruitment,"Your skills and experience 
 Some experience with 
 ExpressJS, Postgres 
 and modern web technologies. 
 Strong passion for software engineering excellence. 
 Strong advocate of code craftsmanship and quality deliverables. 
 Strong communication and interpersonal skills. 
 Communicate well in English. 
 Newbies are welcomed, if you can complete the code challenge."
Backend Engineer (Java/Kotlin/Spring) - SMARTID/CLIP,NAVER VIETNAM,"Your skills and experience 
 Your background: 
 3+ years of work experience on Backend systems with Java applications to serve large-scale and high traffic projects. 
 Have +2 years of experience in Java Spring-Framework. 
 Proficient in at least one RDBMS. 
 JavaScript development experience in building dynamic web applications. 
 Basic backend design skills based on an understanding of MSA, RESTful, etc. 
 Positive mindset and a considerate attitude towards colleagues. 
 Strong communication skills in English. 
 It's a big plus if you: 
 Full-stack web developer. 
 Maintenance of backend systems for handling massive-traffic volumes. 
 Experience in data analysis based on Big Data. 
 Strong communication skills in Korean. 
 *Due to the volume of interest and applications we receive, our response time may be slower than usual. We appreciate your patience and understanding as we carefully review each application."
"Backend Engineer ( Python, Node.js)","ARSEN Kawaijuku Tech Vietnam Co.,Ltd","Your skills and experience 
 Your Role 
 As a Backend Engineer, you will play a crucial role in the development of our AI-driven products. Your primary responsibilities will include: 
 Designing and implementing scalable and efficient backend systems for AI-powered applications 
 Collaborating closely with AI researchers and developers to integrate algorithms into production 
 Optimizing system performance and ensuring robust API integrations 
 Ensuring the security and reliability of backend services, particularly in high-stakes educational environments 
 Requirements 
 At least 3 years of backend development experience with Python and Nodejs 
 Experience in SQL and database design, construction, and operation (MySQL, PostgreSQL, etc.) 
 Experience in NoSQL design, construction, and operation (Amazon DynamoDB, Azure Cosmos DB, etc.) 
 Familiarity with API design and development (RESTful, GraphQL, etc.) 
 Familiarity with Docker and basic CI/CD workflows 
 Familiarity with Git and collaborative development practices 
 Experience with cloud infrastructure (AWS, Azure, etc.) 
 Basic understanding of frontend technologies (HTML, JavaScript, Vue, React) — sufficient to collaborate effectively with frontend teams 
 Ability to work in a collaborative, R&D-focused environment 
 Passion for applying AI technology in real-world scenarios, particularly in education"
Mid/Sr Java Developer (English Required) - Up to 3200$,"Rakuten Fintech Vietnam Co., Ltd.","Your skills and experience 
 Must have: 
 At least 5+ years working in Java API/Web development 
 Intermediate-level in English communication 
 Strong experience in SQL, especially Oracle 
 Strong knowledge in Java Web & Enterprise (EE) technologies 
 Good knowledge with source control and defect tracking tool 
 Good experience with unit testing: JUnit, mock 
 Must be independent, responsible, and self-motivated with the ability to learn and achieve superior results 
 Strong communication skills with proven ability to present complex ideas and document in a clear and concise way. 
 Nice to have: 
 Experience in developing large-scale mission-critical systems 
 Experience in design and implement event-driven architectures using messaging systems, especially with Kafka 
 Experience in utilizing NoSQL distributed databases to manage large volumes of data, especially with Cassandra 
 Working experience as a Tech Lead and Team Leader 
 Experience in microservice, cloud computing"
"Fullstack Dev (.NET, Angular) – Phát Triển Hệ Thống ERP",Tin học Đại dương,"Your skills and experience 
 Có từ 
 2 – 4 năm 
 kinh nghiệm lập trình 
 C#, .NET Core/ Web API. 
 Nắm vững OOP, SOLID và các Design Patterns cơ bản. 
 Thành thạo SQL Server/PostgreSQL (viết Stored Procedure, tối ưu truy vấn). 
 Có kinh nghiệm với 
 Angular (2+), TypeScript, RxJS 
 ; xây dựng UI theo kiến trúc component. 
 Sử dụng tốt các thư viện UI (Angular Material, DevExtreme hoặc tương đương). 
 Hiểu về State Management, có kinh nghiệm xây dựng Dynamic Forms và xử lý validation phức tạp. 
 Nắm vững HTML5, CSS3 (SCSS/SASS). 
 Có tư duy hệ thống, hiểu luồng nghiệp vụ và liên kết dữ liệu trong hệ thống ERP (ưu tiên). 
 Kỹ năng phân tích, giải quyết vấn đề và troubleshooting tốt. 
 Thành thạo Excel (VLOOKUP, INDEX/MATCH, Pivot); biết VBA là điểm cộng. 
 Biết ứng dụng AI hỗ trợ lập trình, tối ưu hiệu suất và phân tích nghiệp vụ. 
 Chủ động, học hỏi nhanh, có trách nhiệm và đảm bảo deadline công việc."
"MaintMaster - Senior Fullstack Developer (React, .NET)",Scandinavian Software Park,"Your skills and experience 
 Minimum requirements: 
 Relevant university education or similar in software engineering. 
 Strong React skills, plus C# and back-end familiarity. 
 Familiar with SQL and databases. 
 Comfortable working in both back-end and front-end. 
 Excellent English communication skills, spoken and written. 
 Will be advanced if you are skilled in: 
 Working in an international environment. 
 Azure and Azure DevOps. 
 Agile mindset and methods. 
 Deep knowledge of SQL and databases. 
 Continuous integration, delivery, and industry standard tools. 
 Skilled in architectural patterns and software architecture best practices. 
 Developing generic, reusable components that can be shared across multiple products. 
 Building user-friendly UIs and enjoy creating clean, modern designs 
 We also hope you are: 
 Open to sharing ideas and providing constructive feedback when appropriate. 
 Being proactive, ready to help others, and willing to ask for help or feedback when needed. 
 Collaborative mindset — enjoying teamwork and pair/group programming environments. 
 Creating a positive and enjoyable working atmosphere."
"Fullstack Developer (JavaScript, TypeScript, ReactJS)",Boxgate,"Your skills and experience 
 Có 1-3 năm kinh nghiệm ở vị trí Fullstack Developer hoặc tương đương. 
 Thành thạo JavaScript/TypeScript/ReactJS. 
 Thành thạo NestJS, Next.js. 
 Hiểu rõ REST API, Authentication (JWT, OAuth…). 
 Có kinh nghiệm làm việc với Database: PostgreSQL, MySQL hoặc MongoDB. 
 Hiểu về Docker, Docker Compose, môi trường deploy. 
 Có kiến thức về Git, Git flow. 
 Hiểu về SSR, CSR, SSG trong Next.js. 
 Biết về Redis, Queue (BullMQ, RabbitMQ…) là lợi thế. 
 Có kinh nghiệm CI/CD, VPS, Linux, Nginx là lợi thế. 
 Có tư duy logic tốt, khả năng tự nghiên cứu và giải quyết vấn đề. 
 Có trách nhiệm với công việc, làm việc nhóm tốt."
"IT Fullstack Developer (ReactJS, NextJS, JavaScript)",Delements,"Your skills and experience 
 Có kinh nghiệm thực chiến từ 
 5 năm 
 trở lên ở vị trí IT: 
 3 năm frontend - 2 năm backend, đặc biệt ưu tiên kinh nghiệm trong môi trường agency quảng cáo sáng tạo. 
 Minimum 5 years of experience in IT roles: 3 years frontend - 2 years backend, with a preference for experience in a creative advertising agency environment 
 Nắm vững và thành thạo HTML, CSS, JavaScript. 
 Strong proficiency in HTML, CSS, JavaScript. 
 Có kinh nghiệm chuyên sâu với ReactJS và Next.js 
 (bao gồm Server-Side Rendering (SSR) và Static Site Generation (SSG)). 
 In-depth experience with ReactJS and Next.js 
 (including Server-Side Rendering (SSR) and Static Site Generation (SSG). 
 Kinh nghiệm làm việc sâu rộng với GraphQL API và REST API, bao gồm tích hợp với Headless CMS (như Strapi, Contentful) và xử lý đa nguồn dữ liệu. 
 Extensive experience working with GraphQL API and REST API, including integration with Headless CMS (such as Strapi, Contentful) and handling multiple data sources. 
 Có kiến thức và kinh nghiệm thực tế về 3D Web (WebGL, Three.js, React Three Fiber) để phát triển các trải nghiệm không gian ảo và mô hình 3D tương tác. 
 Practical knowledge and experience with 3D Web (WebGL, Three.js, React Three Fiber) to develop virtual spaces and interactive 3D models. 
 Hiểu biết sâu sắc về cách hoạt động của AR và có kinh nghiệm triển khai các chiến dịch WebAR cũng như filter mạng xã hội. 
 Deep understanding of AR functionality and experience implementing WebAR campaigns and social media filters. 
 Tư duy sáng tạo, khả năng giải quyết vấn đề vượt trội và khả năng biến ý tưởng phức tạp thành sản phẩm thực tế. 
 Creative thinking, excellent problem-solving skills, and the ability to translate complex ideas into real-world products. 
 Kỹ năng làm việc nhóm tốt, khả năng phối hợp hiệu quả với đội ngũ Creative/Design và các phòng ban liên quan trong môi trường tốc độ cao. 
 Strong teamwork skills, ability to collaborate effectively with the Creative/Design team and relevant departments in a fast-paced environment. 
 Kỹ năng làm việc nhóm tốt, khả năng phối hợp hiệu quả với đội ngũ Creative/Design và các phòng ban liên quan trong môi trường tốc độ cao. 
 Experience in system administration and knowledge of hardware/networking to optimize infrastructure for heavy 3D/AR projects and support the deployment of offline interactive experience booths (kiosks, touchscreens)."
Senior Fullstack Developer (React/Typescript/ThreeJS ),8Seneca,"Your skills and experience 
 Requirements 
 5+ years of experience in 
 fullstack development 
 Strong hands-on experience with 
 React (Hooks, Context) and TypeScript 
 Experience with 
 Three.js or Ant Design 
 Experience with backend development using 
 Golang for Senior level 
 Solid understanding of 
 HTML5, CSS3, REST APIs, and JSON 
 Experience working with 
 Git and modern development workflows 
 Familiarity with 
 command line tools (CMD / PowerShell) 
 Good understanding of 
 software architecture and design principles 
 Basic knowledge of 
 databases (MongoDB or SQL) 
 English proficiency (verbal and written) (must have) 
 Nice to Have 
 Knowledge of 
 .NET / C# 
 Experience with 
 Azure or other cloud platforms 
 Familiarity with 
 Redux Toolkit 
 Experience with 
 Docker and basic networking concepts 
 Knowledge of 
 Microsoft 365 / SharePoint Online / Power Platform"
