Title,Company,Skills and Experience
"Senior Backend Developer (Java, Golang, SQL, Database)",10X Technology and Consulting,"Your skills and experience 
 At least 5+ years of experience coding Backend with various programming languages, and willing to work with Golang, Java. 
 Good at teamwork and individual work under high pressure/time-sensitive circumstances. 
 Good communicator, be a team player and be independent at the same time. 
 Experience in writing good unit tests."
"[Middle, Senior] BackEnd Engineer (Java, Go)",MB Bank,"Your skills and experience 
 Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin và liên quan 
 Tối thiểu 02 năm làm việc thực tế tại các công ty, dự án về lập trình Backend 
 Thành thạo ngôn ngữ Java. 
 Thành thạo Spring framework: spring core, spring sercuity, spring boots. 
 Thành thạo một trong trong các loại database: Oracle, Sqlserver, PostgreSQL, Mongodb. 
 Có hiểu biết  về các kỹ thuật/công nghệ: MySQL, Redis, MongoDB, PostgreSQL, Kafka,… 
 Có kinh nghiệm phát triển, sử dụng Cloud, AI, Front-end là 1 lợi thế. 
 MB Bank yêu cầu ứng viên ứng tuyển cần cung cấp chi tiết các thông tin sau: 
 - Thông tin cá nhân: Họ và tên, Ngày tháng năm sinh, Giới tính 
 - Số điện thoại và Email liên hệ 
 - Trình độ học vấn, Trường đã tốt nghiệp 
 - Kinh nghiệm làm việc 
 - Từ 3 - 5 kỹ năng nổi bật 
 - Nguồn Tuyển dụng 
 Vì sao Bạn nên đảm bảo đầy đủ thông tin khi ứng tuyển? 
 - Hồ sơ của Bạn sẽ được đánh giá nhanh chóng. 
 - Đối với các hồ sơ đáp ứng đầy đủ thông tin và tiêu chí tuyển dụng phù hợp, MB Bank sẽ chủ động liên hệ phỏng vấn trong thời gian sớm nhất. 
 - Ứng viên vui lòng kiểm tra email và điện thoại thường xuyên để không bỏ lỡ lịch hẹn phỏng vấn. 
 Cập nhật ngay thông tin mới nhất về các Chương trình do MB tổ chức tại FanPage: 
 - Ai yêu Miền Bắc hơn MBers 
 - Ai yêu Miền Trung hơn MBers 
 - Ai yêu Miền Nam hơn MBers"
"[Junior, Senior] BackEnd Engineer (Java, Go)",MB Bank,"Your skills and experience 
 Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Khoa học máy tính, Hệ thống thông tin... 
 Có kinh nghiệm làm việc thực tế tại các công ty hoặc dự án về lập trình Backend 
 Thành thạo 1 trong các ngôn ngữ BackEnd, ưu tiên Java. 
 Thành thạo Spring framework: spring core/ spring sercuity/ spring boots. 
 Thành thạo một trong trong các loại database: Oracle, Sqlserver, PostgreSQL, Mongodb. 
 Có kinh nghiệm trong domain tài chính, ngân hàng, chứng khoán hoặc các hệ thống có số lượng người dùng lớn là lợi thế 
 MB Bank yêu cầu ứng viên ứng tuyển cần cung cấp chi tiết các thông tin sau: 
 - Thông tin cá nhân: Họ và tên, Ngày tháng năm sinh, Giới tính 
 - Số điện thoại và Email liên hệ 
 - Trình độ học vấn, Trường đã tốt nghiệp 
 - Kinh nghiệm làm việc 
 - Từ 3 - 5 kỹ năng nổi bật 
 - Nguồn Tuyển dụng 
 Vì sao Bạn nên đảm bảo đầy đủ thông tin khi ứng tuyển? 
 - Hồ sơ của Bạn sẽ được đánh giá nhanh chóng. 
 - Đối với các hồ sơ đáp ứng đầy đủ thông tin và tiêu chí tuyển dụng phù hợp, MB Bank sẽ chủ động liên hệ phỏng vấn trong thời gian sớm nhất. 
 - Ứng viên vui lòng kiểm tra email và điện thoại thường xuyên để không bỏ lỡ lịch hẹn phỏng vấn. 
 Cập nhật ngay thông tin mới nhất về các Chương trình do MB tổ chức tại FanPage: 
 - Ai yêu Miền Bắc hơn MBers 
 - Ai yêu Miền Trung hơn MBers 
 - Ai yêu Miền Nam hơn MBers"
Middle/Senior Oracle & .NET Backend,CÔNG TY TNHH SẢN XUẤT VINH QUANG,"Your skills and experience 
 Tối thiểu 3–5 năm kinh nghiệm làm việc với SQL và Database Development. 
 Có kinh nghiệm thực tế với PL/SQL và Oracle Database. 
 Ngoại ngữ: Tiếng Anh trình độ đọc hiểu tài liệu chuyên ngành tốt (Intermediate level). 
 Thái độ: Tư duy logic tốt, khả năng làm việc độc lập cao và sẵn sàng học hỏi công nghệ mới."
"Backend Developer (Java, Spring Boot, Web3)",Pinetree Securities,"Your skills and experience 
 1. 
 Trình độ Học vấn 
 Tốt nghiệp Cao đẳng, Đại học chuyên ngành Công nghệ thông tin, Hệ thống thông tin, Điện tử viễn thông hoặc các chuyên ngành khác có liên quan. 
 2. 
 Kiến thức/ Chuyên môn có liên quan 
 Ngôn ngữ và nền tảng 
 Thành thạo Java 8+, nắm vững các tính năng mới, lập trình hướng đối tượng và lập trình phản ứng (reactive nếu áp dụng). 
 Kinh nghiệm với Spring Boot 3 và hệ sinh thái Spring (Spring MVC, Spring Data, Spring Security, Spring Validation, Spring AOP…). 
 Kinh nghiệm với Spring Cloud để xây dựng hệ thống microservices (Service Discovery, Config Server, OpenFeign, Circuit Breaker…). 
 Cơ sở dữ liệu và & Storage 
 Kinh nghiệm làm việc với MariaDB (tối ưu query, transaction, indexing, performance tuning). 
 Kinh nghiệm với MongoDB (schema design, aggregation framework, tối ưu hiệu năng). 
 Thành thạo sử dụng Redis cho caching, message queue, pub/sub hoặc distributed locking. 
 Message Broker & Integration 
 Kinh nghiệm sử dụng Apache Kafka (producer/consumer, topic partitioning, offset management…). 
 API Gateway & Hệ thống phân tán 
 Có kinh nghiệm triển khai và cấu hình Kong Gateway trong hệ thống microservices (routing, rate limiting, authentication plugin, logging…). 
 Hiểu biết về kiến trúc hệ thống phân tán, high availability và scalability. 
 Triển khai & DevOps cơ bản 
 Sử dụng thành thạo Docker, ưu tiên có kinh nghiệm với Docker Swarm hoặc các giải pháp container orchestration khác. 
 Kinh nghiệm CI/CD, logging, monitoring (ELK/EFK stack, Prometheus, Grafana… là điểm cộng). 
 Kỹ thuật & Thiết kế phần mềm 
 Nắm vững Design Patterns, tư duy thiết kế kiến trúc, SOLID, Clean Code, DDD là lợi thế. 
 Kinh nghiệm xây dựng hệ thống microservices hiệu năng cao, resilient và dễ mở rộng. 
 Công nghệ blockchain và tài sản số 
 Có kinh nghiệm phát triển smart contract hoặc từng làm việc trong những dự án web3, tài sản số là một lợi thế. 
 Kinh nghiệm liên quan 
 Có tối thiểu 4-8 năm kinh nghiệm phát triển Backend sử dụng Java. 
 Đã từng tham gia xây dựng và vận hành hệ thống microservices. 
 Có kinh nghiệm tối ưu hiệu năng backend: API throughput, DB performance, cache strategy. 
 Ưu tiên có kinh nghiệm làm việc với Cloud: AWS/GCP/Azure. 
 Ưu tiên có hiểu biết về event-driven architecture. 
 Ưu tiên có kinh nghiệm làm việc với CI/CD pipelines như Jenkins, GitHub Actions, GitLab CI… 
 Ưu tiên có kinh nghiệm trong lĩnh vực Fintech. 
 Ưu tiên có kinh nghiệm trong lĩnh vực Blockchain, Web3, Tài sản số."
Senior / Lead Java Backend Developer (Game),BinarixTech,"Your skills and experience 
 Bachelor’s degree or equivalent experience in Computer Science, Software Engineering, or a related field. 
 Required Skills 
 Strong experience with 
 Java backend development 
 . 
 Experience building backend servers using 
 Netty, Jetty, or similar frameworks 
 . 
 Experience with 
 WebSocket or socket-based communication 
 . 
 Solid understanding of 
 multithreading, concurrency, and synchronization in Java 
 . 
 Strong debugging and performance optimization skills. 
 Experience designing 
 scalable and distributed backend systems 
 . 
 Experience by Level 
 Senior Developer 
 5+ years of backend development experience. 
 Experience designing scalable backend services. 
 Ability to independently solve complex technical problems. 
 Lead Developer 
 7+ years of backend development experience. 
 Experience leading backend projects or mentoring developers. 
 Strong system architecture design capability. 
 Nice to Have 
 Experience building 
 game backend systems 
 . 
 Experience working with 
 high-concurrency servers 
 . 
 Experience with 
 distributed systems or microservices architecture 
 . 
 Experience with 
 cloud infrastructure (AWS, GCP, or similar) 
 ."
Mid-Senior Backend .NET Developer,Blogic Systems,"Your skills and experience 
 Requirements: 
 Experience: 
 Mid: 
 2 - 4 years of professional experience in .NET development. 
 Senior: 
 4+ years of experience with a proven track record of designing large-scale systems. 
 Technical Skills: 
 Proficiency in 
 ASP.NET Core 
 , 
 Entity Framework Core 
 , and 
 Dapper 
 . 
 Strong understanding of 
 OOP, SOLID, and Design Patterns 
 . 
 Experience with database design and advanced SQL optimization (Indexing, Execution Plans). 
 Familiarity with 
 Distributed Systems 
 and 
 Message Brokers 
 (RabbitMQ, Kafka, or AWS SQS). 
 Experience with 
 Unit Testing 
 (xUnit/NUnit) and automated testing strategies. 
 A passion for learning and a desire to stay updated with the latest technologies. 
 Nice To Have: 
 Familiarity with 
 CI/CD pipelines 
 Experience with 
 Docker, Kubernetes 
 , and 
 Cloud Computing (AWS/Azure) 
 . 
 Strong 
 teamwork 
 and problem-solving skills. 
 Familiarity in Ubuntu/IIS, Message/Queue systems, Proxy Server (Nginx) 
 Experience with AWS, agile development methodologies and software development best practices is a big plus 
 Upper-Intermediate English proficiency 
 (Reading & Writing). Must be comfortable working with US-based documentation and requirements."
Mid-Senior Backend Engineer (Python/Java),KALAPA,"Your skills and experience 
 Từ 4 năm kinh nghiệm trở lên trong phát triển backend 
 Thành thạo một trong 2 ngôn ngữ: Python / Java 
 Kinh nghiệm làm việc với ít nhất một framework backend phổ biến: Django / Spring Boot / ... 
 Hiểu rõ về thiết kế RESTful API, xử lý authentication/authorization (JWT, OAuth2) 
 Kinh nghiệm làm việc với cơ sở dữ liệu quan hệ (PostgreSQL, MySQL...) và NoSQL (MongoDB, Redis...) 
 Hiểu biết về thiết kế hệ thống hiệu suất cao, xử lý đồng thời, hàng đợi (queue), cache... 
 Có kiến thức hoặc kinh nghiệm về bảo mật hệ thống backend, như bảo vệ API, kiểm soát truy cập, bảo vệ dữ liệu nhạy cảm 
 Có tư duy logic, khả năng giải quyết vấn đề và viết code sạch, dễ bảo trì 
 Cẩn thận, có tinh thần trách nhiệm, cầu tiến 
 Điểm cộng: 
 Kinh nghiệm làm việc với hệ thống tài chính, ví dụ như quản lý khoản vay, ví điện tử, hệ thống thanh toán 
 Có kinh nghiệm sử dụng Docker, CI/CD pipelines, các dịch vụ đám mây (AWS, GCP, Azure) 
 Kiến thức về kiến trúc microservices, event-driven architecture"
Backend Developer (Golang/AI),WTECH VIETNAM,"Your skills and experience 
 Requirements: 
 At least 3+ YOE of technical experience with Golang, used to work with Chating Service or highload system. 
 Strong Golang language and under concept of 
 Ability to read SRS/FRS, understand/implement flow documents. 
 Familiarity with Hexagonal / Clean Arch / Layered, RESTful or gRPC concepts. 
 Good communication skills. 
 Demonstrates a strong team-oriented mindset and the ability to work effectively both collaboratively and independently. 
 Experience with the following technologies is a plus: 
 - Monotholic, Microservice 
 - Elasticsearch, MongoDB, Postgres,  MySQL, Redis 
 - AWS services such as EC2 and S3 
 - RabbitMQ and/or Kafka 
 - Auth2 and JWT 
 Embraces an open-minded approach, unrestricted by specific programming languages, and thrives in a fast-paced environment, leveraging cutting-edge technologies and AI to enhance work efficiency and deliver high-quality results. 
 Preferred Qualifications: 
 Analytical: The ability to analyze complex data and situations to develop effective solutions. 
 Communication: Excellent verbal and written communication skills to effectively interact with both technical and non-technical stakeholders. 
 Leadership: Proven ability to lead and motivate teams. 
 Problem-Solving: The ability to identify and solve complex problems. 
 Technical: Proficiency in relevant software and tools (e.g., SQL, data visualization tools). 
 Self-motivated, proactive, and capable of thriving in a fast-paced environment."
Senior Backend Developer (Java/AI),WTECH VIETNAM,"Your skills and experience 
 Requirements: 
 At least 7+ YOE of technical experience, able to deal with highload systems, able to build from ZERO. 
 Strong Java language, strong understanding of OOP/AOP principles. 
 Ability to read SRS/FRS, understand/implement flow documents. 
 Familiarity with Clean Arch / Layered. RESTful or gRPC concepts. 
 Good communication skills. 
 Demonstrates a strong team-oriented mindset and the ability to work effectively both collaboratively and independently. 
 Experience with the following technologies is a plus: 
 - Monotholic, Microservice 
 - Elasticsearch, MongoDB, MySQL, Redis 
 - AWS services such as EC2 and S3 
 - RabbitMQ and/or Kafka 
 - Auth 2 and JWT 
 Embraces an open-minded approach, unrestricted by specific programming languages, and thrives in a fast-paced environment, leveraging cutting-edge technologies and AI to enhance work efficiency and deliver high-quality results. 
 Preferred Qualifications: 
 Analytical: The ability to analyze complex data and situations to develop effective solutions. 
 Communication: Excellent verbal and written communication skills to effectively interact with both technical and non-technical stakeholders. 
 Leadership: Proven ability to lead and motivate teams. 
 Problem-Solving: The ability to identify and solve complex problems. 
 Technical: Proficiency in relevant software and tools (e.g., SQL, data visualization tools). 
 Self-motivated, proactive, and capable of thriving in a fast-paced environment."
"Fullstack Web Developer (ReactJS, NodeJS) ~ Up to $2000",Ewoosoft Vietnam,"Your skills and experience 
 From 07 years of hands-on experience in web application development, with strong expertise in ReactJS and NodeJS. 
 Strong experience in full-stack architecture design and development for enterprise web applications. 
 Solid database skills: relational (PostgreSQL, MySQL) and/or NoSQL (MongoDB), including query optimization and schema migrations. 
 Experience implementing DevOps practices, including CI/CD pipelines (GitHub Actions, GitLab CI, Jenkins, or similar). 
 Experience with cloud platforms (AWS, Azure) and container orchestration tools such as Kubernetes (K8s). 
 Strong experience in code quality control, including linting, unit testing, integration testing, and code reviews. 
 Good understanding of software architecture, scalability, and system reliability. 
 Ability to work closely with product managers and stakeholders to translate business requirements into technical solutions. 
 Experience leading development teams, coordinating tasks, and driving technical initiatives is highly preferred. 
 Experience developing software in the dental or medical imaging domain is a strong plus."
Fullstack Developer (C/C++/C#/Python/SQL),LG CNS Việt Nam,"Your skills and experience 
 [Required] 
 Bachelor’s degree in a 4year science or engineering program. 
 Preferred majors: Computer Science, Information Systems, System Engineering, Automation. 
 GPA 3.0+ highly preferred. 
 One of the following language proficiencies: 
 TOEIC 680+, or OPIC IM2+, or Korean intermediate (TOPIK II) or above. 
 (If no candidate meets these, priority will be based on highest TOEIC score; Korean beginner not required.) 
 Experience working on projects or assignments using C, C++, C#, Python, SQL. 
 Strong logical & analytical thinking skills with proven troubleshooting ability. 
 Ability to work night shifts and adapt to a 3shift rotation schedule. 
 [Preferred] 
 Possession of computerrelated certifications. 
 Experience working with MES systems in manufacturing environments. 
 Candidates with development portfolios (GitHub, project reports, code samples). 
 Familiarity with automation systems or factory IT environments."
Fullstack Developer (C#),LG CNS Việt Nam,"Your skills and experience 
 [Required] 
 Experience working on EIF projects or SI projects within the Optical Business Division. 
 Strong knowledge in analyzing and working with MES business rules. 
 Hands‑on experience in equipment control and equipment interfaces such as SECS/GEM and PLC. 
 Ability to develop or analyze software using C# (Fullstack or backend‑focused development). 
 Practical experience working with MES systems in manufacturing environments. 
 Strong problem‑solving, communication, and documentation skills. 
 Ability to work effectively with multiple stakeholders including customers, equipment engineers, and HQ teams. 
 [Preferred] 
 Candidates with development portfolios demonstrating MES, EIF, or system integration projects. 
 Experience serving as a Project Leader (PL) or participating in technical leadership roles. 
 Experience in manufacturing automation, equipment integration, or factory IT systems. 
 Ability to communicate effectively in Korean."
Fullstack Dev - AI products,TecAlliance Vietnam,"Your skills and experience 
 Job Qualification 
 Degree in Computer Science, Data Science, Mathematics, or equivalent 
 Minimum 3 years of professional experience in Software Development with focus on AI Products 
 Experience in product-oriented software development (not research-focused) 
 Ability to independently prioritize and implement requirements 
 Willingness to participate in in-person meetings with local team members 
 Hard Skills (must have) 
 Ability to explain complex technical content in a clear and understandable way 
 Proactive problem-solving and independent prioritization of tasks 
 Product and feature mindset: focus on implementation and value, not research. 
 Python Ecosystem: Pandas, NumPy 
 Data Processing: SQL, database design, ETL processes 
 Cloud & Deployment: AWS, Docker 
 Versioning & CI/CD: Git, automated pipelines 
 Security: Basic knowledge of cloud security (IAM, access control)."
"Fullstack Developer (Remote) (C#, ASP.NET, English)",VCAPTECH,"Your skills and experience 
 Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience). 
 Fluency in English is a must to communicate directly in English. 
 Proven experience as a Full Stack Developer or similar role. 
 Strong proficiency in ASP.Net, C#, HTML, JavaScript. 
 Experience with MSSQL and database design. 
 Solid understanding of web development best practices and design patterns. 
 Familiarity with version control systems (e.g., Git). 
 Excellent problem-solving skills and attention to detail. 
 Strong communication and collaboration skills."
